Mouse 鼠
rat 大老鼠
cow 母牛
Tiger 虎
Rabbit 兔
Dragon 龙
Snake 蛇 
Horse 马
sheep 绵羊 
Monkey 猴子 
Chicken 鸡 
Dog 狗 
cat 猫
Pig 猪
Bird 鸟 
eagle 老鹰 
pigeon 鸽子 
dove 鸽子
owl 猫头鹰 
gull 海鸥 
sparrow 麻雀
Parrot 鹦鹉 
Penguin 企鹅 
goose 鹅 
duck 鸭 
Bat 蝙蝠
Frog 青蛙 
cricket 蟋蟀 
Bee 蜜蜂 
butterfly 蝴蝶 
fly 苍蝇 
flea 跳蚤 
Bear 熊 
panda 猫熊 
Elephant 大象 
Deer 鹿 
hippo 河马 
wolf 狼
Donkey 驴子 
kangaroo 袋鼠 
koala 无尾熊
Giraffe 长颈鹿 
zebra 斑马 
lion 狮子 
Crab 螃蟹 
shrimp 虾
fish 鱼
whale 鲸鱼 
dolphin 海豚
turtle 乌龟
eel 鳗鱼
starfish 海星 
sea horse 海马 
Dinosaur 恐龙 
jellyfish 水母
squid 乌
peacock 孔雀
lion 狮子
leopard 豹
panda 熊猫
tiger 老虎
wolf 狼
zebra 斑马
bull 斑马
cow 母牛
calf 小牛
buffalo 水牛
goat 山羊
sheep 绵样
bear 熊
camel 骆驼
deer 鹿
elephant 大象
fox 狐狸
giraffe 长颈鹿
crocodile 鳄鱼
hippopotamus 河马
